,artist_name,end_time,ms_played,track_name,track_id
56,NAV,2022-05-06 09:31,226040,Myself,05nbZ1xxVNwUTcGwLbp7CN
57,Russ,2022-05-06 09:35,200547,3AM,6xRNqXP3baPR9buXr8vreM
58,Pop Smoke,2022-05-06 09:38,213333,Mood Swings (feat. Lil Tjay),5rZlwNFl01HqLWBQGryKSm
59,Boy In Space,2022-05-06 09:42,203538,Cold,5jYe1mOKg5zUx0enf1DOdz
60,Jeremih,2022-05-06 09:46,238320,oui,0PJIbOdMs3bd5AT8liULMQ
61,Gunna,2022-05-06 09:48,151539,Who You Foolin,7KVPsVMOK3NL7subwJ0dZj
62,Internet Money,2022-05-06 09:51,181495,Lemonade (Feat. Roddy Ricch & Don Toliver) [Remix],5sBplhIrmzA4kQGyIOpmDf
63,YNG Martyr,2022-05-06 09:54,144103,Ease Off,3OPozjaFwjjmrgdkUMV9TD
64,June3rd,2022-05-06 09:56,171655,Wait 4 It,34nzen9vQclFJN8ypTfWk4
65,The Art of Jaysun,2022-05-06 09:59,174759,Strawberry Kiwi (Lips of an Angel),2BHAoBv6pPdFkyzvG5GueA
66,French Montana,2022-05-06 10:03,233901,Unforgettable,3B54sVLJ402zGa6Xm4YGNe
67,SBE KP,2022-05-06 10:06,145806,Toxic Traits,1Ct6q8dBVeX9nrF9WBPyYl
68,Post Malone,2022-05-06 10:09,221440,Psycho (feat. Ty Dolla $ign),3swc6WTsr7rl9DqQKQA55C
69,J.I the Prince of N.Y,2022-05-06 10:12,151640,Need Me,2dzja72gQodveSpguIQGJl
70,Bazzi,2022-05-06 10:15,160465,Young & Alive,5RsKelNxucrDxgMbZ3vd3W
71,DJ Khaled,2022-05-06 10:18,218901,GREECE (feat. Drake),35RJhm1pEovTBwnNR0zWad
72,Haiti Babii,2022-05-06 10:21,156769,Change Ya Life,5JboK5zbbhXIN7iN9NHS8t
73,Gunna,2022-05-06 10:23,149133,MET GALA,4loM16743hROPC6uIJG6wM
74,Gunna,2022-05-06 10:26,154666,BLINDFOLD (feat. Lil Baby),02mYw61RoS1vXvkD9Q5dpN
75,Travis Scott,2022-05-06 10:29,150043,YOSEMITE,7lAK3oHbfEnvUQWosrMMpR
76,Snoop Dogg,2022-05-06 10:32,207333,"Young, Wild & Free (feat. Bruno Mars)",5HQVUIKwCEXpe7JIHyY734
77,YFN Lucci,2022-05-06 10:35,209848,Wet (She Got That…),4GurWpxvH3NoWz9f9wirPq
78,Childish Gambino,2022-05-06 10:40,252026,Sober,5NhlpQ6BOIz3S5welptk1W
