,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,song_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,mode,key
370,370,370,370,5JPtB3Wn3H4nXJhuFtvzak,0.478,0.136,120.031,0.208,0.0734,0.0,0.961,162104,-7.471,0.41,1,7
371,371,371,371,0RyA3o15NOLJYtm9NlDu5c,0.777,0.357,128.09,0.231,0.181,0.0,0.635,218947,-6.018,0.177,1,1
372,372,372,372,1883mCuSqnfnrWoq8i3myH,0.569,0.214,134.924,0.221,0.0809,5.82e-05,0.88,190187,-6.517,0.474,0,10
373,373,373,373,4KW1lqgSr8TKrvBII0Brf8,0.573,0.538,113.088,0.0549,0.118,0.0,0.724,135920,-4.113,0.438,1,7
374,374,374,374,0P2P1AxcRYhiZvoF5MyRmM,0.842,0.241,159.897,0.264,0.0499,0.0,0.688,185856,-4.211,0.416,1,2
375,375,375,375,52eYVUkFTOVozbVFIaFrnV,0.783,0.0831,69.88,0.269,0.139,0.0,0.512,208373,-4.013,0.33,1,1
376,376,376,376,5YCs9rP6ZcMJW6me3QhtWr,0.663,0.292,140.043,0.12,0.0221,0.0,0.774,181107,-7.283,0.124,1,1
377,377,377,377,4WMpJlGeawBMz7jApgq6Vs,0.803,0.422,131.894,0.073,0.0058,0.0,0.656,221999,-7.328,0.548,1,11
378,378,378,378,4z0PnuB07fxtVZZRWsCfxb,0.749,0.47,93.718,0.0874,0.371,0.0,0.735,278507,-3.766,0.373,0,10
379,379,379,379,14qNHvX8h6HoynFuV0RxWS,0.584,0.12,88.025,0.0422,0.222,0.00114,0.687,199427,-7.336,0.228,0,6
380,380,380,380,2oMOqX9k4k16odibNkYyrD,0.765,0.566,74.986,0.354,0.0105,0.0,0.714,139707,-6.215,0.52,0,4
381,381,381,381,6urLjX35oXXRYtcH1b3dCh,0.529,0.0814,138.072,0.0532,0.0674,0.0,0.774,228431,-4.479,0.227,0,5
382,382,382,382,5QqyRUZeBE04yJxsD1OC0I,0.574,0.199,134.981,0.126,0.0155,2.02e-05,0.76,260672,-8.57,0.137,1,1
383,383,383,383,3QeqmjVKAT7NRd2anhZG4o,0.485,0.324,139.961,0.107,0.00205,0.0,0.751,179390,-8.725,0.291,1,8
384,384,384,384,6R9nl7ucaIt4mMNscXP0Qq,0.718,0.105,156.07,0.277,0.0237,0.0,0.796,215690,-7.215,0.867,0,1
385,385,385,385,57q6BgYP4gN6hPQViCB3um,0.869,0.312,135.809,0.212,0.141,2.32e-05,0.655,140133,-4.342,0.0818,0,1
386,386,386,386,5P4Dow1Jc2NhkknIuPi5Nd,0.737,0.186,177.462,0.332,0.528,0.0,0.443,153881,-5.943,0.68,1,0
387,387,387,387,7aK5rlTVxSgcqShPMI1TTH,0.78,0.14,80.018,0.326,0.0255,0.0,0.529,216067,-3.932,0.711,1,5
388,388,388,388,7foypmc7KZyU716Yv63BPe,0.648,0.0967,150.058,0.0543,0.009,0.0,0.866,140793,-3.675,0.0798,1,1
389,389,389,389,0utlOiJy2weVl9WTkcEWHy,0.283,0.11,138.97,0.356,0.319,0.000383,0.898,216520,-12.335,0.469,0,6
390,390,390,390,3Nk5di6GP8rxkgs3WzG3eS,0.648,0.0831,77.013,0.228,0.000433,0.0,0.763,264750,-5.569,0.44,1,1
391,391,391,391,6GnhWMhgJb7uyiiPEiEkDA,0.435,0.147,120.058,0.178,0.47,0.0,0.843,208080,-8.442,0.19,1,8
392,392,392,392,2nBI3iWLhupR7LyAJ5GGkE,0.774,0.873,134.952,0.0876,0.0623,0.0,0.692,334253,-2.48,0.349,0,6
393,393,393,393,628Ueb4sRiXApObhcU9iPU,0.844,0.119,159.108,0.0956,0.00389,0.00879,0.668,172017,-4.151,0.33,1,1
394,394,394,394,31G9RaSaDOI2NWcpnIp734,0.849,0.493,81.956,0.248,0.228,4.52e-05,0.697,192067,-4.953,0.734,0,10
395,395,395,395,3KiEydhjn7yf58h9jBD5Sa,0.585,0.325,134.071,0.0471,0.0121,0.0,0.723,299800,-6.496,0.485,1,1
396,396,396,396,4NN6N5TxBO5k9uqu0W4gfQ,0.545,0.091,139.932,0.344,0.181,0.0,0.906,186827,-4.977,0.543,0,11
397,397,397,397,1L8NADNWd56cZRnaxcxPPI,0.594,0.242,89.22,0.285,0.00264,0.0,0.755,153687,-4.778,0.518,1,1
398,398,398,398,7g7raxdQpiLZT7aOlib4S1,0.657,0.0995,162.867,0.113,0.0158,0.0,0.868,191410,-4.853,0.436,1,8
399,399,399,399,0UtoMazfEORmgedPQexOPM,0.742,0.632,112.069,0.302,0.367,5.28e-06,0.631,259292,-5.854,0.454,0,4
400,400,400,400,148C7wb4DL8aBrBVbP947A,0.845,0.284,114.005,0.266,0.0825,0.0,0.848,218082,-9.424,0.583,0,7
401,401,401,401,3I8MbKRkS2IBDuslhCS3iT,0.71,0.143,122.04,0.0555,0.33,0.0,0.653,238053,-8.444,0.41,1,8
